hex,type,r,t,dbFlags,desc,alt_baro,alt_geom,gs,track,squawk,lat,lon,nic,rc,seen_pos,nac_p,nac_v,sil,sil_type,alert,spi,mlat,tisb,messages,seen,rssi
3ea3b0,mode_s,0,0,1,0,62700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],5450940,2.2,-8.4
ae08a3,mode_s,00-3582,TEX2,1,Raytheon T-6A Texan II,25025,0,0,0,1773,0,0,0,0,0,0,0,0,persample,0,0,[],[],1465649,0.0,-15.5
400006,adsb_icao_nt,TWR,TWR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,[],[],62512,8.9,-28.2
e40135,mode_s,2520,E145,1,EMBRAER ERJ-145,26600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],69328,38.7,-29.2
adfbe1,adsb_icao_nt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,[],[],587776,0.0,-14.0
ae10bc,mode_s,01-0193,C17,1,Boeing C-17A Globemaster III,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],15999666,0.4,-26.9
adfbdf,adsb_icao_nt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,[],[],10637501,0.7,-21.0
400008,adsb_icao_nt,TWR,TWR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,[],[],5495913,1.0,-26.4
4ca331,adsb_icao_nt,276,A139,1,AGUSTA AW-139,0,0,0,0,0,0,0,0,0,0,0,0,0,perhour,0,0,[],[],4631528,1.8,-25.5
adf995,adsb_icao_nt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perhour,0,0,[],[],601662,0.4,-15.4
adfbde,adsb_icao_nt,TWR,TWR,1,0,ground,0,0.0,0,0,0,0,0,0,0,11,0,2,unknown,0,0,[],[],25696809,0.4,-13.2
adfbe3,adsb_icao_nt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],81915,1.8,-32.8
adf996,adsb_icao_nt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,[],[],230453,2.3,-34.0
